message_id,project,session_id,timestamp,session_date,code,cluster,code_order,order_in_session
3439,Project_7,0086cabebd15,1772710372.057,2026-03-05,Specify,Directive,1,1
3439,Project_7,0086cabebd15,1772710372.057,2026-03-05,Command,Directive,2,2
3439,Project_7,0086cabebd15,1772710372.057,2026-03-05,Specify,Directive,3,3
3440,Project_7,0086cabebd15,1772710372.068,2026-03-05,Interrupt,Metacognitive,1,4
3442,Project_7,0086cabebd15,1772710759.098,2026-03-05,Verify,Evaluative,1,5
3444,Project_7,0086cabebd15,1772710915.5,2026-03-05,Specify,Directive,1,6
3444,Project_7,0086cabebd15,1772710915.5,2026-03-05,Verify,Evaluative,2,7
3446,Project_7,0086cabebd15,1772711082.934,2026-03-05,Verify,Evaluative,1,8
3448,Project_7,0086cabebd15,1772711269.415,2026-03-05,Frustrate,Evaluative,1,9
3448,Project_7,0086cabebd15,1772711269.415,2026-03-05,Inquire,Metacognitive,2,10
3450,Project_7,0086cabebd15,1772712446.237,2026-03-05,Frustrate,Evaluative,1,11
3450,Project_7,0086cabebd15,1772712446.237,2026-03-05,Frustrate,Evaluative,2,12
3450,Project_7,0086cabebd15,1772712446.237,2026-03-05,Verify,Evaluative,3,13
9963,Project_24,00bd84ef1666,1771876562.138,2026-02-23,Command,Directive,1,1
9963,Project_24,00bd84ef1666,1771876562.138,2026-02-23,Specify,Directive,2,2
9965,Project_24,00bd84ef1666,1771876589.302,2026-02-23,Interrupt,Metacognitive,1,3
9965,Project_24,00bd84ef1666,1771876589.302,2026-02-23,Command,Directive,2,4
9967,Project_24,00bd84ef1666,1771876635.415,2026-02-23,Interrupt,Metacognitive,1,5
9967,Project_24,00bd84ef1666,1771876635.415,2026-02-23,Command,Directive,2,6
9967,Project_24,00bd84ef1666,1771876635.415,2026-02-23,Specify,Directive,3,7
6670,Project_16,00da7e5a052d,1772969043.516,2026-03-08,Specify,Directive,1,1
6670,Project_16,00da7e5a052d,1772969043.516,2026-03-08,Command,Directive,2,2
6670,Project_16,00da7e5a052d,1772969043.516,2026-03-08,Specify,Directive,3,3
6671,Project_16,00da7e5a052d,1772969043.519,2026-03-08,Interrupt,Metacognitive,1,4
6673,Project_16,00da7e5a052d,1772969252.588,2026-03-08,Verify,Evaluative,1,5
6675,Project_16,00da7e5a052d,1772969437.949,2026-03-08,Correct,Evaluative,1,6
6675,Project_16,00da7e5a052d,1772969437.949,2026-03-08,Specify,Directive,2,7
6677,Project_16,00da7e5a052d,1772969762.756,2026-03-08,Frustrate,Evaluative,1,8
6677,Project_16,00da7e5a052d,1772969762.756,2026-03-08,Frustrate,Evaluative,2,9
6677,Project_16,00da7e5a052d,1772969762.756,2026-03-08,Specify,Directive,3,10
6679,Project_16,00da7e5a052d,1772969965.415,2026-03-08,Frustrate,Evaluative,1,11
6679,Project_16,00da7e5a052d,1772969965.415,2026-03-08,Inquire,Metacognitive,2,12
6681,Project_16,00da7e5a052d,1772970057.868,2026-03-08,Verify,Evaluative,1,13
6683,Project_16,00da7e5a052d,1772970137.534,2026-03-08,Request,Directive,1,14
6683,Project_16,00da7e5a052d,1772970137.534,2026-03-08,Specify,Directive,2,15
6685,Project_16,00da7e5a052d,1772970189.234,2026-03-08,Specify,Directive,1,16
6687,Project_16,00da7e5a052d,1772970260.176,2026-03-08,Specify,Directive,1,17
6689,Project_16,00da7e5a052d,1772970369.291,2026-03-08,Refine,Evaluative,1,18
6689,Project_16,00da7e5a052d,1772970369.291,2026-03-08,Request,Directive,2,19
