"id","seed","n_actors","n_states","seq_length","max_abs_delta","raw_centrality_max_abs_delta","default_diffusion_max_abs_delta","status","OutStrength","InStrength","ClosenessIn","ClosenessOut","Closeness","Betweenness","BetweennessRSP","Diffusion","Clustering"
1,987361,20,6,20,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,6.93889390390723e-18,6.93889390390723e-18,6.93889390390723e-18,0,0,0,0
2,285452,30,8,10,3.46944695195361e-18,3.46944695195361e-18,0,"PASS",0,0,3.46944695195361e-18,3.46944695195361e-18,3.46944695195361e-18,0,0,0,0
3,674960,60,4,8,1.38777878078145e-17,1.38777878078145e-17,0,"PASS",0,0,1.38777878078145e-17,0,0,0,0,0,0
4,846242,20,7,12,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,6.93889390390723e-18,6.93889390390723e-18,3.46944695195361e-18,0,0,0,0
5,137287,60,7,16,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,6.93889390390723e-18,3.46944695195361e-18,6.93889390390723e-18,0,0,0,0
6,619101,60,3,8,2.77555756156289e-17,2.77555756156289e-17,0,"PASS",0,0,2.77555756156289e-17,0,0,0,0,0,0
7,979148,45,6,10,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,0,0,6.93889390390723e-18,0,0,0,0
8,616968,15,8,30,3.46944695195361e-18,3.46944695195361e-18,0,"PASS",0,0,3.46944695195361e-18,0,3.46944695195361e-18,0,0,0,0
9,534156,30,4,30,0,0,0,"PASS",0,0,0,0,0,0,0,0,0
10,716596,45,8,20,3.46944695195361e-18,3.46944695195361e-18,0,"PASS",0,0,3.46944695195361e-18,3.46944695195361e-18,3.46944695195361e-18,0,0,0,0
11,111098,15,4,12,2.77555756156289e-17,2.77555756156289e-17,0,"PASS",0,0,0,0,2.77555756156289e-17,0,0,0,0
12,961948,45,8,8,3.46944695195361e-18,3.46944695195361e-18,0,"PASS",0,0,3.46944695195361e-18,0,3.46944695195361e-18,0,0,0,0
13,465004,15,6,25,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,6.93889390390723e-18,6.93889390390723e-18,6.93889390390723e-18,0,0,0,0
14,965016,20,5,8,1.38777878078145e-17,1.38777878078145e-17,0,"PASS",0,0,6.93889390390723e-18,0,1.38777878078145e-17,0,0,0,0
15,323688,45,7,8,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,3.46944695195361e-18,3.46944695195361e-18,6.93889390390723e-18,0,0,0,0
