message_id,project,session_id,timestamp,session_date,actor,code,category,superclass,code_order,order_in_session
3439,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Context,Specify,Directive,1,1
3439,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Direct,Command,Directive,2,2
3439,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Specification,Specify,Directive,3,3
3440,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Interrupt,Interrupt,Metacognitive,1,4
3441,Project_7,0086cabebd15,1772661600,2026-03-05,AI,Delegate,Delegate,Action,1,5
3441,Project_7,0086cabebd15,1772661600,2026-03-05,AI,Plan,Plan,Repair,2,6
3442,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Verification,Verify,Evaluative,1,7
3443,Project_7,0086cabebd15,1772661600,2026-03-05,AI,Execute,Execute,Action,1,8
3443,Project_7,0086cabebd15,1772661600,2026-03-05,AI,Plan,Plan,Repair,2,9
3444,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Specification,Specify,Directive,1,10
3444,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Verification,Verify,Evaluative,2,11
3445,Project_7,0086cabebd15,1772661600,2026-03-05,AI,Execute,Execute,Action,1,12
3446,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Verification,Verify,Evaluative,1,13
3447,Project_7,0086cabebd15,1772661600,2026-03-05,AI,Investigate,Investigate,Action,1,14
3448,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Arguing,Frustrate,Evaluative,1,15
3448,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Ask,Inquire,Metacognitive,2,16
3449,Project_7,0086cabebd15,1772661600,2026-03-05,AI,Apologize,Repair,Repair,1,17
3449,Project_7,0086cabebd15,1772661600,2026-03-05,AI,Ask,Ask,Communication,2,18
3449,Project_7,0086cabebd15,1772661600,2026-03-05,AI,Explain,Explain,Communication,3,19
3450,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Arguing,Frustrate,Evaluative,1,20
3450,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Frustration,Frustrate,Evaluative,2,21
3450,Project_7,0086cabebd15,1772661600,2026-03-05,Human,Verification,Verify,Evaluative,3,22
3451,Project_7,0086cabebd15,1772661600,2026-03-05,AI,Apologize,Repair,Repair,1,23
3451,Project_7,0086cabebd15,1772661600,2026-03-05,AI,Investigate,Investigate,Action,2,24
9963,Project_24,00bd84ef1666,1771797600,2026-02-23,Human,Command,Command,Directive,1,1
9963,Project_24,00bd84ef1666,1771797600,2026-02-23,Human,Specification,Specify,Directive,2,2
9964,Project_24,00bd84ef1666,1771797600,2026-02-23,AI,Execute,Execute,Action,1,3
9964,Project_24,00bd84ef1666,1771797600,2026-02-23,AI,Plan,Plan,Repair,2,4
9965,Project_24,00bd84ef1666,1771797600,2026-02-23,Human,Accept,Interrupt,Metacognitive,1,5
9965,Project_24,00bd84ef1666,1771797600,2026-02-23,Human,Command,Command,Directive,2,6
9966,Project_24,00bd84ef1666,1771797600,2026-02-23,AI,Execute,Execute,Action,1,7
9967,Project_24,00bd84ef1666,1771797600,2026-02-23,Human,Accept,Interrupt,Metacognitive,1,8
9967,Project_24,00bd84ef1666,1771797600,2026-02-23,Human,Command,Command,Directive,2,9
9967,Project_24,00bd84ef1666,1771797600,2026-02-23,Human,Specification,Specify,Directive,3,10
9968,Project_24,00bd84ef1666,1771797600,2026-02-23,AI,Execute,Execute,Action,1,11
6670,Project_16,00da7e5a052d,1772920800,2026-03-08,Human,Context,Specify,Directive,1,1
6670,Project_16,00da7e5a052d,1772920800,2026-03-08,Human,Direct,Command,Directive,2,2
6670,Project_16,00da7e5a052d,1772920800,2026-03-08,Human,Specification,Specify,Directive,3,3
6671,Project_16,00da7e5a052d,1772920800,2026-03-08,Human,Interrupt,Interrupt,Metacognitive,1,4
6672,Project_16,00da7e5a052d,1772920800,2026-03-08,AI,Investigate,Investigate,Action,1,5
