id,project,session_id,timestamp,session_date,actor,code,category,superclass
0,Project_1,7244bcbe18f1,2026-02-22T22:21:25.896Z,2026-02-22,Human,Request,Request,Directive
0,Project_1,7244bcbe18f1,2026-02-22T22:21:25.896Z,2026-02-22,Human,Specification,Specify,Directive
1,Project_1,7244bcbe18f1,2026-02-22T22:21:27.973Z,2026-02-22,AI,Execute,Execute,Action
1,Project_1,7244bcbe18f1,2026-02-22T22:21:27.973Z,2026-02-22,AI,Plan,Plan,Repair
2,Project_1,7244bcbe18f1,2026-02-22T22:27:34.354Z,2026-02-22,Human,Command,Command,Directive
2,Project_1,7244bcbe18f1,2026-02-22T22:27:34.354Z,2026-02-22,Human,Reject,Correct,Evaluative
2,Project_1,7244bcbe18f1,2026-02-22T22:27:34.354Z,2026-02-22,Human,Specification,Specify,Directive
3,Project_1,7244bcbe18f1,2026-02-22T22:27:46.681Z,2026-02-22,AI,Execute,Execute,Action
4,Project_1,7244bcbe18f1,2026-02-22T22:35:17.185Z,2026-02-22,Human,Frustration,Frustrate,Evaluative
4,Project_1,7244bcbe18f1,2026-02-22T22:35:17.185Z,2026-02-22,Human,Specification,Specify,Directive
5,Project_1,7244bcbe18f1,2026-02-22T22:37:44.344Z,2026-02-22,AI,Execute,Execute,Action
5,Project_1,7244bcbe18f1,2026-02-22T22:37:44.344Z,2026-02-22,AI,Plan,Plan,Repair
6,Project_1,7244bcbe18f1,2026-02-22T22:44:03.512Z,2026-02-22,Human,Refinement,Refine,Evaluative
7,Project_1,7244bcbe18f1,2026-02-22T22:44:11.027Z,2026-02-22,AI,Execute,Execute,Action
8,Project_2,9002222750a3,2026-03-01T10:04:14.478Z,2026-03-01,Human,Request,Request,Directive
8,Project_2,9002222750a3,2026-03-01T10:04:14.478Z,2026-03-01,Human,Specification,Specify,Directive
9,Project_2,9002222750a3,2026-03-01T10:04:18.463Z,2026-03-01,AI,Execute,Execute,Action
9,Project_2,9002222750a3,2026-03-01T10:04:18.463Z,2026-03-01,AI,Plan,Plan,Repair
10,Project_2,9002222750a3,2026-03-01T10:09:02.120Z,2026-03-01,Human,Request,Request,Directive
10,Project_2,9002222750a3,2026-03-01T10:09:02.120Z,2026-03-01,Human,Specification,Specify,Directive
11,Project_2,9002222750a3,2026-03-01T10:09:11.929Z,2026-03-01,AI,Execute,Execute,Action
12,Project_2,9002222750a3,2026-03-01T10:10:37.258Z,2026-03-01,Human,Interrupt,Interrupt,Metacognitive
13,Project_3,e3ce0d904bba,2026-02-05T21:30:11.264Z,2026-02-05,Human,Context,Specify,Directive
13,Project_3,e3ce0d904bba,2026-02-05T21:30:11.264Z,2026-02-05,Human,Direct,Command,Directive
13,Project_3,e3ce0d904bba,2026-02-05T21:30:11.264Z,2026-02-05,Human,Request,Request,Directive
13,Project_3,e3ce0d904bba,2026-02-05T21:30:11.264Z,2026-02-05,Human,Specification,Specify,Directive
14,Project_3,e3ce0d904bba,2026-02-05T21:30:11.265Z,2026-02-05,Human,Interrupt,Interrupt,Metacognitive
15,Project_3,e3ce0d904bba,2026-02-05T21:30:14.328Z,2026-02-05,AI,Investigate,Investigate,Action
15,Project_3,e3ce0d904bba,2026-02-05T21:30:14.328Z,2026-02-05,AI,Plan,Plan,Repair
16,Project_3,e3ce0d904bba,2026-02-05T21:50:29.120Z,2026-02-05,Human,Request,Request,Directive
16,Project_3,e3ce0d904bba,2026-02-05T21:50:29.120Z,2026-02-05,Human,Specification,Specify,Directive
17,Project_3,e3ce0d904bba,2026-02-05T21:50:33.216Z,2026-02-05,AI,Execute,Execute,Action
17,Project_3,e3ce0d904bba,2026-02-05T21:50:33.216Z,2026-02-05,AI,Plan,Plan,Repair
18,Project_3,e3ce0d904bba,2026-02-05T21:52:57.479Z,2026-02-05,Human,Command,Command,Directive
19,Project_3,e3ce0d904bba,2026-02-05T21:53:01.066Z,2026-02-05,AI,Execute,Execute,Action
